"Espacialidades";"Estado";"Código";"Esperança de vida ao nascer 2000";"Mortalidade infantil 2000";"Taxa de analfabetismo - 15 anos ou mais 2000";"% de pobres 2000";"% de vulneráveis à pobreza 2000";"Indicador_final"
"Lagoa de São Francisco";"PI";2205573;61,26;56,28;45,85;77,31;93,32;66,804
"Lagoa do Piauí";"PI";2205581;63,9;46,16;34,19;76,36;95,08;63,138
"Lagoa do Sítio";"PI";2205599;62,14;52,79;42,71;74,98;91,95;64,914
"Landri Sales";"PI";2205607;65,32;41,21;28,92;58,15;78,7;54,46
"Luís Correia";"PI";2205706;60,47;59,52;39,3;69,49;88,49;63,454
"Luzilândia";"PI";2205805;58,73;67,09;41,83;67,83;84,62;64,02
"Madeiro";"PI";2205854;63,65;47,08;47,4;80,3;96,32;66,95
"Manoel Emídio";"PI";2205904;64,78;43,07;35,84;67,63;83,75;59,014
"Marcolândia";"PI";2205953;62,93;49,76;41,43;63,57;81,05;59,748
"Marcos Parente";"PI";2206001;63,59;47,31;31,35;59,1;79,31;56,132
"Massapê do Piauí";"PI";2206050;60,23;60,53;52,6;70,96;86,54;66,172
"Matias Olímpio";"PI";2206100;64,08;45,53;46,34;75,15;91,06;64,432
"Miguel Alves";"PI";2206209;61,74;54,36;48,1;75,88;92,23;66,462
"Miguel Leão";"PI";2206308;67,47;34,23;37,89;62,02;79,36;56,194
"Milton Brandão";"PI";2206357;63,1;49,14;50,92;85,77;96,15;69,016
"Monsenhor Gil";"PI";2206407;64,65;43,52;33,68;66,75;86,44;59,008
"Monsenhor Hipólito";"PI";2206506;62,21;52,53;42,28;51,18;72,36;56,112
"Monte Alegre do Piauí";"PI";2206605;63,1;49,14;34,84;73,84;88,08;61,8
"Morro Cabeça no Tempo";"PI";2206654;63,65;47,08;30,45;85,94;94,52;64,328
"Morro do Chapéu do Piauí";"PI";2206670;61,74;54,36;46,8;83,83;96,53;68,652
"Murici dos Portelas";"PI";2206696;64,03;45,72;53,46;83,03;94,92;68,232
"Nazaré do Piauí";"PI";2206704;62,09;52,99;37,31;74,81;88,5;63,14
"Nazária";"PI";2206720;67,37;34,54;40,88;72,72;90,88;61,278
"Nossa Senhora de Nazaré";"PI";2206753;63,9;46,16;33,47;71,63;93,41;61,714
"Nossa Senhora dos Remédios";"PI";2206803;62,25;52,36;46,85;79,45;91,47;66,476
"Novo Oriente do Piauí";"PI";2206902;63,8;46,54;37,27;59,58;83,31;58,1
"Novo Santo Antônio";"PI";2206951;58,84;66,61;43,61;84,41;95,05;69,704
"Oeiras";"PI";2207009;62,57;51,12;32,99;61,29;82,61;58,116
"Olho D'Água do Piauí";"PI";2207108;63,1;49,14;41,78;80,86;88,61;64,698
"Padre Marcos";"PI";2207207;59,44;63,95;47,05;70,69;88,42;65,91
"Paes Landim";"PI";2207306;62,13;52,82;33,95;69,72;88,27;61,378
"Pajeú do Piauí";"PI";2207355;66,23;38,17;35,26;61,81;82,87;56,868
"Palmeira do Piauí";"PI";2207405;63,87;46,29;34,34;57,47;84,73;57,34
"Palmeirais";"PI";2207504;64,5;44,06;41,21;70,62;87,54;61,586
"Paquetá";"PI";2207553;61,74;54,36;54,63;80,25;94,87;69,17
"Parnaguá";"PI";2207603;63,9;46,16;31,55;72;87,68;60,258
"Parnaíba";"PI";2207702;67,52;34,09;22,67;48,18;71,5;48,792
"Passagem Franca do Piauí";"PI";2207751;63,61;47,24;48,78;72,37;88,63;64,126
"Patos do Piauí";"PI";2207777;63,1;49,14;47,91;66,45;84,61;62,242
"Pau D'Arco do Piauí";"PI";2207793;62,93;49,76;51,48;82,16;95,8;68,426
"Paulistana";"PI";2207801;63,54;47,49;38,01;66,63;84,84;60,102
"Pavussu";"PI";2207850;62,09;52,99;43,21;72,35;86,04;63,336
"Pedro Ii";"PI";2207900;66,01;38,89;38,74;70,31;89,54;60,698
"Pedro Laurentino";"PI";2207934;62,93;49,76;32,14;74,73;92,42;62,396
"Nova Santa Rita";"PI";2207959;62,82;50,16;34,18;76,73;92,35;63,248
"Picos";"PI";2208007;68,1;32,32;25,51;38,13;65,68;45,948
"Pimenteiras";"PI";2208106;64,91;42,61;45,71;73,75;91,12;63,62
"Pio Ix";"PI";2208205;62,09;52,99;46,01;66,18;84,67;62,388
"Piracuruca";"PI";2208304;66,46;37,44;40,18;68,52;85,26;59,572
"Piripiri";"PI";2208403;65,16;41,74;34,03;58,15;79,79;55,774
"Porto";"PI";2208502;62,12;52,85;47,3;80,11;92,25;66,926
"Porto Alegre do Piauí";"PI";2208551;64,78;43,07;34,87;75,65;89,59;61,592
"Prata do Piauí";"PI";2208601;65,35;41,11;41,55;67,51;85,51;60,206
"Queimada Nova";"PI";2208650;62,12;52,85;41,21;79,3;92,82;65,66
"Redenção do Gurguéia";"PI";2208700;63,19;48,77;31,7;72,76;88,59;61,002
"Regeneração";"PI";2208809;66,57;37,07;41,28;62,93;86,14;58,798
"Riacho Frio";"PI";2208858;62,57;51,12;30,1;69,23;84,31;59,466
"Ribeira do Piauí";"PI";2208874;63,24;48,6;43,48;79,94;95,99;66,25
"Ribeiro Gonçalves";"PI";2208908;64,92;42,58;27,97;53,98;77,86;53,462
"Rio Grande do Piauí";"PI";2209005;66,23;38,17;36,78;60,23;84,12;57,106
"Santa Cruz do Piauí";"PI";2209104;62,91;49,82;36,43;60,69;81,69;58,308
"Santa Cruz dos Milagres";"PI";2209153;62,14;52,79;38,14;72,15;92,93;63,63
"Santa Filomena";"PI";2209203;66,38;37,69;35,01;67,43;86,91;58,684
"Santa Luz";"PI";2209302;65,35;41,11;30,74;69,29;89,13;59,124
"Santana do Piauí";"PI";2209351;62,91;49,82;42,43;66,64;88,92;62,144
"Santa Rosa do Piauí";"PI";2209377;58,33;68,91;35,13;70,73;89,34;64,488
"Santo Antônio de Lisboa";"PI";2209401;61,38;55,8;33,81;48,78;72,55;54,464
"Santo Antônio dos Milagres";"PI";2209450;63,87;46,29;35,25;75,25;92,77;62,686
"Santo Inácio do Piauí";"PI";2209500;66,42;37,56;37,83;62,67;80,09;56,914
"São Braz do Piauí";"PI";2209559;62,82;50,16;36,26;69,3;87,29;61,166
"São Félix do Piauí";"PI";2209609;65,76;39,73;38;62,35;81,65;57,498
"São Francisco de Assis do Piauí";"PI";2209658;61,97;53,45;47,77;82,59;94,47;68,05
"São Francisco do Piauí";"PI";2209708;61,74;54,36;38,92;75,51;90,27;64,16
"São Gonçalo do Gurguéia";"PI";2209757;62,82;50,16;31,42;67,2;80,24;58,368
"São Gonçalo do Piauí";"PI";2209807;66,67;36,74;34,03;66,95;86,05;58,088
"São João da Canabrava";"PI";2209856;59,88;62,03;41,73;71,79;87,26;64,538
"São João da Fronteira";"PI";2209872;62,25;52,36;47,41;75,33;90,12;65,494
"São João da Serra";"PI";2209906;62,82;50,16;44,03;75,79;91,53;64,866
"São João da Varjota";"PI";2209955;62,89;49,93;44,49;73,73;92,02;64,612
"São João do Arraial";"PI";2209971;60,53;59,28;44,68;74,26;89,44;65,638
"São João do Piauí";"PI";2210003;63,24;48,6;29,42;58,07;77,36;55,338
"São José do Divino";"PI";2210052;63,87;46,29;43,42;75,98;92,85;64,482
"São José do Peixe";"PI";2210102;63,72;46,83;34,6;72,84;89,42;61,482
"São José do Piauí";"PI";2210201;62,91;49,82;43,89;69,04;87,33;62,598
"São Julião";"PI";2210300;64,23;45,01;44,73;63,98;82,6;60,11
"São Lourenço do Piauí";"PI";2210359;62,82;50,16;26,11;70,01;87,94;59,408
"São Luis do Piauí";"PI";2210375;62,25;52,36;45,32;72,12;84,58;63,326
"São Miguel da Baixa Grande";"PI";2210383;63,19;48,77;43,66;72,4;93,56;64,316
"São Miguel do Fidalgo";"PI";2210391;63,72;46,83;37,71;81,98;94,5;64,948
"São Miguel do Tapuio";"PI";2210409;64,08;45,53;47,5;73,25;89,28;63,928
"São Pedro do Piauí";"PI";2210508;66,31;37,92;38,04;67,42;86,7;59,278
"São Raimundo Nonato";"PI";2210607;67,36;34,57;25;50,16;73,73;50,164
"Sebastião Barros";"PI";2210623;63,24;48,6;31,53;76,91;93,63;62,782
"Sebastião Leal";"PI";2210631;66,42;37,56;33,46;72,69;89,7;59,966
"Sigefredo Pacheco";"PI";2210656;64,33;44,64;41,92;76,95;93,15;64,198
"Simões";"PI";2210706;63,1;49,14;41,49;71,21;87,96;62,58
"Simplício Mendes";"PI";2210805;66,67;36,74;29,16;54,69;77,36;52,924
"Socorro do Piauí";"PI";2210904;61,26;56,28;35,41;73,9;89,25;63,22
"Sussuapara";"PI";2210938;61,59;54,95;37,72;59,02;85,76;59,808
"Tamboril do Piauí";"PI";2210953;60,68;58,65;45,72;71,24;85,08;64,274
"Tanque do Piauí";"PI";2210979;61,38;55,8;34,46;75,32;90,67;63,526
"Teresina";"PI";2211001;69,06;32,67;13,85;33,91;58,18;41,534
"União";"PI";2211100;64,98;42,37;39,03;71,6;90,14;61,624
"Uruçuí";"PI";2211209;66,23;38,17;30,24;61,26;84,11;56,002
"Valença do Piauí";"PI";2211308;66,01;38,9;30,69;52,48;74,13;52,442
"Várzea Branca";"PI";2211357;61,26;56,28;39,16;76,02;92,29;65,002
"Várzea Grande";"PI";2211407;63,9;46,16;40,12;61,61;82,87;58,932
"Vera Mendes";"PI";2211506;58,67;67,35;54,68;74,49;90,18;69,074
"Vila Nova do Piauí";"PI";2211605;60,47;59,52;40,33;68,62;87,13;63,214
"Wall Ferraz";"PI";2211704;59,08;65,53;47,17;72,45;91,61;67,168
"Abaiara";"CE";2300101;67,2;42,98;40,03;67,72;85,66;60,718
"Acarape";"CE";2300150;62,9;60,34;29,46;59,8;83,87;59,274
"Acaraú";"CE";2300200;65,24;50,54;39,75;69,76;88,03;62,664
"Acopiara";"CE";2300309;63,19;59,08;42,96;68,07;85,72;63,804
"Aiuaba";"CE";2300408;61,93;64,71;43,87;77,42;91,43;67,872
"Alcântaras";"CE";2300507;62,8;60,81;38,65;67,62;88,31;63,638
"Altaneira";"CE";2300606;63,81;56,43;41,73;70,94;83,8;63,342
"Alto Santo";"CE";2300705;68,6;37,93;37,53;55,24;81,05;56,07
"Amontada";"CE";2300754;64,87;52,03;36,57;75,28;89,46;63,642
"Antonina do Norte";"CE";2300804;66,42;45,92;42,93;65,87;85,82;61,392
"Apuiarés";"CE";2300903;64,74;52,53;35,42;73,09;87,92;62,74
"Aquiraz";"CE";2301000;67,48;41,94;31,48;52,28;80,1;54,656
"Aracati";"CE";2301109;66,84;44,32;28,79;51,95;77,33;53,846
"Aracoiaba";"CE";2301208;62,9;60,34;40,77;69,1;87,32;64,086
"Ararendá";"CE";2301257;67,91;40,38;40,43;69,4;86,63;60,95
"Araripe";"CE";2301307;63,81;56,43;44,26;72,91;89,28;65,338
"Aratuba";"CE";2301406;68,52;38,23;35,38;75,89;91,39;61,882
"Arneiroz";"CE";2301505;63;59,91;39,24;74,53;90,99;65,534
"Assaré";"CE";2301604;63,81;56,43;44,61;72,85;87,72;65,084
"Aurora";"CE";2301703;65,18;50,76;35,56;66,34;85,65;60,698
"Baixio";"CE";2301802;63,19;59,08;33,95;71,18;87,31;62,942
"Banabuiú";"CE";2301851;67,03;43,61;40,38;66,6;83,43;60,21
"Barbalha";"CE";2301901;67,83;40,66;26,17;58,09;79,34;54,418
"Barreira";"CE";2301950;63,19;59,08;34,04;65,58;86,42;61,662
"Barro";"CE";2302008;68,6;37,93;32,96;62,73;84,07;57,258
"Barroquinha";"CE";2302057;60,79;70,03;47,35;75,59;92,11;69,174
"Baturité";"CE";2302107;63,81;56,43;30,28;59,83;79,56;57,982
"Beberibe";"CE";2302206;69,11;36,19;34,95;66,54;88,31;59,02
"Bela Cruz";"CE";2302305;62,24;63,28;35,3;74,07;89,19;64,816
"Boa Viagem";"CE";2302404;64,54;53,37;42,24;68,67;85,76;62,916
"Brejo Santo";"CE";2302503;69,09;36,25;34,42;58,36;77,86;55,196
"Camocim";"CE";2302602;63,94;55,86;35,49;67,41;84,79;61,498
"Campos Sales";"CE";2302701;66,78;44,54;38,1;59,67;81,01;58,02
"Canindé";"CE";2302800;67,29;42,64;35,42;67,94;85,71;59,8
"Capistrano";"CE";2302909;67,23;42,86;37,76;73,49;90,05;62,278
"Caridade";"CE";2303006;67,19;43;37,2;71,96;88,42;61,554
"Cariré";"CE";2303105;66,99;43,77;37,65;71,72;89,17;61,86
"Caririaçu";"CE";2303204;62,13;63,77;40,28;71,53;89,53;65,448
"Cariús";"CE";2303303;68,52;38,23;39,73;67,62;87,14;60,248
"Carnaubal";"CE";2303402;62,76;60,96;38,75;70,96;85,94;63,874
"Cascavel";"CE";2303501;69,11;36,19;32,53;56,86;82,06;55,35
"Catarina";"CE";2303600;62,76;60,96;37,28;75,91;90,95;65,572
"Catunda";"CE";2303659;66,49;45,65;39,85;73,79;90,5;63,256
"Caucaia";"CE";2303709;70,83;30,5;18,91;46,89;73,31;48,088
"Cedro";"CE";2303808;64,76;52,46;36,12;60,24;81,55;59,026
"Chaval";"CE";2303907;60,79;70,03;39,37;75,2;90,78;67,234
"Choró";"CE";2303931;63,81;56,43;42,23;78,74;92,64;66,77
"Chorozinho";"CE";2303956;64,88;52;35,78;63,76;87,32;60,748
"Coreaú";"CE";2304004;65,8;48,3;47,55;72,54;88,62;64,562
"Crateús";"CE";2304103;68,9;36,88;32,91;56,35;77,7;54,548
"Crato";"CE";2304202;67,83;40,66;22,91;48,05;70,67;50,024
"Croatá";"CE";2304236;62,06;64,09;45,27;80,04;92,44;68,78
"Cruz";"CE";2304251;67,51;41,82;35,53;70;88,26;60,624
"Deputado Irapuan Pinheiro";"CE";2304269;62,06;64,09;41,51;63,62;83,19;62,894
"Ererê";"CE";2304277;66,33;46,24;41,78;61,76;80,93;59,408
"Eusébio";"CE";2304285;67,48;41,94;23,81;54,72;80,19;53,628
"Farias Brito";"CE";2304301;63,19;59,08;36,14;67,28;84,73;62,084
"Forquilha";"CE";2304350;67,05;43,53;37,44;58,42;82,94;57,876
"Fortaleza";"CE";2304400;69,63;34,57;11,19;27,54;51,74;38,934
"Fortim";"CE";2304459;64;55,64;37,2;63,5;84,38;60,944
"Frecheirinha";"CE";2304509;65,48;49,57;45,43;71;86,98;63,692
"General Sampaio";"CE";2304608;64,86;52,05;38,92;78,07;90,46;64,872
"Graça";"CE";2304657;66,99;43,77;47,49;77,53;91,93;65,542
"Granja";"CE";2304707;64,57;53,24;51,43;79,46;91,94;68,128
"Granjeiro";"CE";2304806;62,13;63,77;39,68;78,53;88,41;66,504
"Groaíras";"CE";2304905;66,42;45,92;36,65;62,99;81,2;58,636
"Guaiúba";"CE";2304954;68,52;38,23;33,46;65,15;87,95;58,662
"Guaraciaba do Norte";"CE";2305001;66,56;45,38;38,93;68,78;86,78;61,286
"Guaramiranga";"CE";2305100;67,23;42,86;31,19;57,43;86,83;57,108
"Hidrolândia";"CE";2305209;67,7;41,14;35,39;64,23;85,88;58,868
"Horizonte";"CE";2305233;67,41;42,21;28,18;53,72;81,06;54,516
"Ibaretama";"CE";2305266;64,54;53,37;41,47;70,91;87,46;63,55
"Ibiapina";"CE";2305308;66,71;44,8;34,47;68,39;86,12;60,098
"Ibicuitinga";"CE";2305332;68,88;36,95;36,58;69,13;88,97;60,102
"Icapuí";"CE";2305357;64;55,64;33,16;53,31;81,05;57,432
"Icó";"CE";2305407;63;59,91;40,37;64,02;82,74;62,008
"Iguatu";"CE";2305506;68,65;37,78;30,79;44,01;69,08;50,062
"Independência";"CE";2305605;68,9;36,88;37,78;60,07;81,99;57,124
"Ipaporanga";"CE";2305654;67,91;40,38;43,02;76,6;93,58;64,298
"Ipaumirim";"CE";2305704;64,7;52,72;30,13;66,96;86,1;60,122
"Ipu";"CE";2305803;68,83;37,16;36,66;61,87;82,99;57,502
"Ipueiras";"CE";2305902;65,52;49,42;39,29;72,12;87,91;62,852
"Iracema";"CE";2306009;66,33;46,24;35,24;57,25;76,31;56,274
"Irauçuba";"CE";2306108;66,99;43,77;38,25;71,41;87,61;61,606
"Itaiçaba";"CE";2306207;64;55,64;30,15;63,85;85,18;59,764
"Itaitinga";"CE";2306256;67,48;41,94;25,1;53,07;80,01;53,52
"Itapagé";"CE";2306306;66,14;46,97;30,57;63,55;83,93;58,232
"Itapipoca";"CE";2306405;68,33;38,89;31,58;67,26;84,62;58,136
"Itapiúna";"CE";2306504;68,33;38,89;37,71;69,88;87,68;60,498
"Itarema";"CE";2306553;64,93;51,78;39,34;75,74;90,51;64,46
"Itatira";"CE";2306603;63,84;56,31;46,31;77,12;90,91;66,898
"Jaguaretama";"CE";2306702;68,35;38,83;35,79;63,31;84,46;58,148
"Jaguaribara";"CE";2306801;68,35;38,83;36,51;58,58;82,58;56,97
"Jaguaribe";"CE";2306900;68,35;38,83;33,24;56,73;78,97;55,224
"Jaguaruana";"CE";2307007;69,57;34,6;35,36;62,03;83,53;57,018
"Jardim";"CE";2307106;67,23;42,86;35,27;71,13;87,31;60,76
"Jati";"CE";2307205;67,41;42,22;35,1;63,3;84,32;58,47
"Jijoca de Jericoacoara";"CE";2307254;64,17;54,9;37,31;67,27;82,99;61,328
"Juazeiro do Norte";"CE";2307304;67,76;40,94;24,95;46,94;72,92;50,702
"Jucás";"CE";2307403;63,19;59,08;37,95;70,5;87,84;63,712
"Lavras da Mangabeira";"CE";2307502;67,87;40,53;36,65;65,17;86,14;59,272
"Limoeiro do Norte";"CE";2307601;71,99;26,94;25,97;46,39;74,82;49,222
"Madalena";"CE";2307635;67,03;43,61;36,89;63,57;84,75;59,17
"Maracanaú";"CE";2307650;70,59;31,29;15,16;40,61;69,57;45,444
"Maranguape";"CE";2307700;69,16;35,99;23,74;52,56;78,74;52,038
"Marco";"CE";2307809;64,21;54,74;37,98;68,18;87,54;62,53
"Martinópole";"CE";2307908;62,24;63,28;41,25;75,64;90,54;66,59
"Massapê";"CE";2308005;65,92;47,85;43,2;69,66;85,26;62,378
"Mauriti";"CE";2308104;68,6;37,93;40,44;65,73;84,31;59,402
"Meruoca";"CE";2308203;65,1;51,09;33,25;64,1;86,34;59,976
"Milagres";"CE";2308302;67,2;42,98;35,45;68,67;86,37;60,134
"Milhã";"CE";2308351;65,46;49,65;35,7;64,02;83,77;59,72
"Miraíma";"CE";2308377;65,92;47,85;44,42;81,6;91,65;66,288
"Missão Velha";"CE";2308401;64,72;52,65;38,07;65,75;82,48;60,734
"Mombaça";"CE";2308500;65,62;49,02;42,15;70,75;86,1;62,728
"Monsenhor Tabosa";"CE";2308609;67,91;40,38;38,08;72,15;88,44;61,392
"Morada Nova";"CE";2308708;68,9;36,88;35,09;59,24;81,56;56,334
"Moraújo";"CE";2308807;64,84;52,13;39,61;76,61;92,49;65,136
"Morrinhos";"CE";2308906;64,21;54,74;39,01;73,42;89,34;64,144
"Mucambo";"CE";2309003;66,99;43,77;38,51;68,98;86,5;60,95
"Mulungu";"CE";2309102;68,52;38,23;35,47;63,28;84,49;57,998
"Nova Olinda";"CE";2309201;64,57;53,26;34,21;61,31;81,69;59,008
"Nova Russas";"CE";2309300;65,46;49,65;35,98;61,73;81,84;58,932
"Novo Oriente";"CE";2309409;65,46;49,65;47,08;65,13;81,84;61,832
"Ocara";"CE";2309458;63,89;56,1;40,51;76,11;92,36;65,794
"Orós";"CE";2309508;64,76;52,46;35,81;64,6;83,71;60,268
"Pacajus";"CE";2309607;67,41;42,21;27,34;53,6;78,67;53,846
"Pacatuba";"CE";2309706;69,59;34,53;17,48;47,83;76,91;49,268
"Pacoti";"CE";2309805;68,9;36,88;33,71;64,56;87,16;58,242
"Pacujá";"CE";2309904;67,05;43,53;35,21;44,81;65,49;51,218
"Palhano";"CE";2310001;66,42;45,92;35,12;74,58;87,92;61,992
"Palmácia";"CE";2310100;68,35;38,83;33,76;69,95;85,51;59,28
"Paracuru";"CE";2310209;64,74;52,55;27,09;66,49;84,62;59,098
"Paraipaba";"CE";2310258;68,52;38,22;28,87;66,16;82,78;56,91
"Parambu";"CE";2310308;68,88;36,95;44,41;72,81;90,17;62,644
"Paramoti";"CE";2310407;64,93;51,77;41,12;76,06;91,96;65,168
"Pedra Branca";"CE";2310506;65,46;49,65;46,32;65,59;83,48;62,1
"Penaforte";"CE";2310605;68,6;37,93;26,83;60,06;79,57;54,598
"Pentecoste";"CE";2310704;64,54;53,37;34,5;65,3;83,36;60,214
"Pereiro";"CE";2310803;66,33;46,24;40,07;71,61;86,84;62,218
"Pindoretama";"CE";2310852;66,22;46,66;29,93;63,33;82,73;57,774
"Piquet Carneiro";"CE";2310902;66,06;47,3;36,99;67,53;84,16;60,408
"Pires Ferreira";"CE";2310951;65,52;49,42;43,28;73,57;89,87;64,332
"Poranga";"CE";2311009;65,52;49,42;46,16;74,2;87,77;64,614
"Porteiras";"CE";2311108;67,69;41,17;39,64;64,33;84,64;59,494
"Potengi";"CE";2311207;66,49;45,65;47,29;63,52;84,9;61,57
"Potiretama";"CE";2311231;66,33;46,24;40,04;70,23;85,52;61,672
"Quiterianópolis";"CE";2311264;68,9;36,88;41,21;65,53;85,36;59,576
"Quixadá";"CE";2311306;69,59;34,53;31,59;58,07;78,62;54,48
"Quixelô";"CE";2311355;66,99;43,75;43,8;69,63;87,36;62,306
"Quixeramobim";"CE";2311405;67,03;43,61;35,33;62,46;81,68;58,022
"Quixeré";"CE";2311504;68,6;37,93;37,51;62,63;83,24;57,982
"Redenção";"CE";2311603;67,1;43,33;30,68;65,02;85,02;58,23
"Reriutaba";"CE";2311702;68,52;38,22;39,62;67,09;87,57;60,204
"Russas";"CE";2311801;70,59;31,29;26,52;48,76;75,72;50,576
"Saboeiro";"CE";2311900;61,93;64,71;47,6;78,88;90,78;68,78
"Salitre";"CE";2311959;63,89;56,1;51,56;74,65;91,21;67,482
"Santana do Acaraú";"CE";2312007;65,92;47,85;38,8;73,59;88,12;62,856
"Santana do Cariri";"CE";2312106;66,58;45,29;39,31;74,43;89,89;63,1
"Santa Quitéria";"CE";2312205;67,7;41,14;37,2;67,23;85,75;59,804
"São Benedito";"CE";2312304;63,94;55,86;36,83;67,34;85,37;61,868
"São Gonçalo do Amarante";"CE";2312403;65,36;50,06;30,02;62,84;85,88;58,832
"São João do Jaguaribe";"CE";2312502;70,89;30,32;29,12;52,25;77,2;51,956
"São Luís do Curu";"CE";2312601;63,94;55,86;31,06;64,83;84,38;60,014
"Senador Pompeu";"CE";2312700;63,81;56,43;35,56;57,44;79,13;58,474
"Senador Sá";"CE";2312809;66,83;44,37;42,82;77,64;91,76;64,684
"Sobral";"CE";2312908;68,3;39,01;26,47;49,43;73,65;51,372
"Solonópole";"CE";2313005;66,06;47,3;34,36;62,14;83,16;58,604
"Tabuleiro do Norte";"CE";2313104;70,59;31,29;30,29;48,92;73,34;50,886
"Tamboril";"CE";2313203;67,91;40,38;40,16;73,61;89,67;62,346
"Tarrafas";"CE";2313252;61,94;64,67;37,38;77,14;91,09;66,444
"Tauá";"CE";2313302;69,09;36,25;38,57;61,8;81,72;57,486
"Tejuçuoca";"CE";2313351;64,88;52;35,63;79,35;92,56;64,884
"Tianguá";"CE";2313401;66,71;44,81;35,69;62,25;83,89;58,67
"Trairi";"CE";2313500;68,33;38,89;34,49;74,71;88,94;61,072
"Tururu";"CE";2313559;66,14;46,97;39,36;78,13;91,29;64,378
"Ubajara";"CE";2313609;67,03;43,6;35,79;57,89;82,01;57,264
"Umari";"CE";2313708;63,19;59,08;36,63;73,59;87,14;63,926
"Umirim";"CE";2313757;61,94;64,67;40,43;75,36;89,51;66,382
"Uruburetama";"CE";2313807;66,1;47,16;33,15;65,59;85,82;59,564
"Uruoca";"CE";2313906;65,89;47,96;45,53;77,28;90,82;65,496
"Varjota";"CE";2313955;66,71;44,81;34,16;62,43;80,28;57,678
"Várzea Alegre";"CE";2314003;66,42;45,92;36,83;63,44;81,21;58,764
"Viçosa do Ceará";"CE";2314102;66,56;45,38;45,31;78,47;90,78;65,3
"Acari";"RN";2400109;68,67;36,7;25;37,48;68,23;47,216
"Açu";"RN";2400208;67,65;40,24;28,93;48,66;73,62;51,82
"Afonso Bezerra";"RN";2400307;65,5;48,17;39,32;56,92;83,45;58,672
"Água Nova";"RN";2400406;64,1;53,71;42,15;72,47;91,81;64,848
"Alexandria";"RN";2400505;67,34;41,33;37,49;59,91;82,42;57,698
"Almino Afonso";"RN";2400604;66,21;45,46;32,89;62,88;81,48;57,784
"Alto do Rodrigues";"RN";2400703;67,65;40,24;27,95;37,09;68,75;48,336
"Angicos";"RN";2400802;69,17;35,04;32,86;52,76;76,12;53,19
"Antônio Martins";"RN";2400901;67,81;39,68;34,15;69,21;87,68;59,706
"Apodi";"RN";2401008;68,05;38,85;33,16;56,23;83,85;56,028
"Areia Branca";"RN";2401107;67,91;39,34;21,07;36,74;65,33;46,078
"Arês";"RN";2401206;63,49;56,21;34,9;58,59;79,65;58,568
"Augusto Severo";"RN";2401305;63,6;55,75;36,75;64,43;84,13;60,932
"Baía Formosa";"RN";2401404;66,77;43,38;33,11;60,73;82,95;57,388
"Baraúna";"RN";2401453;62,83;59,02;39,56;60,89;85,4;61,54
"Barcelona";"RN";2401503;65,76;47,18;40,34;61,98;81,01;59,254
"Bento Fernandes";"RN";2401602;61,53;64,69;38,14;79,82;91,95;67,226
"Bodó";"RN";2401651;63,6;55,75;39,78;76,5;90;65,126
"Bom Jesus";"RN";2401701;67,14;42,06;39,33;64,04;82,38;58,99
"Brejinho";"RN";2401800;65,77;47,12;41,87;58,45;80,92;58,826
"Caiçara do Norte";"RN";2401859;65,48;48,25;33,04;60,55;85,83;58,63
"Caiçara do Rio do Vento";"RN";2401909;62,72;59,46;33,47;66,41;83,39;61,09
"Caicó";"RN";2402006;73,32;22,51;21,17;28,4;57,45;40,57
"Campo Redondo";"RN";2402105;65,76;47,18;35,54;56,63;80,4;57,102
"Canguaretama";"RN";2402204;62,99;58,34;38,37;67,02;85,69;62,482
"Caraúbas";"RN";2402303;63,88;54,61;33,5;59,01;80,54;58,308
"Carnaúba dos Dantas";"RN";2402402;70,59;30,48;19,61;31,33;63,93;43,188
"Carnaubais";"RN";2402501;66,51;44,36;36,13;64,17;82,73;58,78
"Ceará-Mirim";"RN";2402600;65,32;48,86;30,73;56,76;77,68;55,87
"Cerro Corá";"RN";2402709;63,4;56,59;38,11;65,3;86,56;61,992
"Coronel Ezequiel";"RN";2402808;67,26;41,62;42;72,1;88,35;62,266
"Coronel João Pessoa";"RN";2402907;64,1;53,71;39,32;69,41;86,01;62,51
"Cruzeta";"RN";2403004;69,17;35,04;25,23;41,98;73,73;49,03
"Currais Novos";"RN";2403103;70,09;32,05;24,1;39,4;64,68;46,064
"Doutor Severiano";"RN";2403202;64,1;53,71;37,84;71,97;87,75;63,074
"Parnamirim";"RN";2403251;69,11;35,26;13,8;26,34;50,51;39,004
"Encanto";"RN";2403301;64,87;50,63;32,1;61,51;84,73;58,768
"Equador";"RN";2403400;69,17;35,04;31,83;52,18;79,11;53,466
"Espírito Santo";"RN";2403509;61,92;62,95;45,68;69,71;87,06;65,464
"Extremoz";"RN";2403608;67,67;40,16;24,02;46,21;69,54;49,52
"Felipe Guerra";"RN";2403707;63,4;56,59;28,17;55,42;80,36;56,788
"Fernando Pedroza";"RN";2403756;62,72;59,46;35,27;57,71;77,49;58,53
"Florânia";"RN";2403806;65,23;49,22;31,28;52,84;76,6;55,034
"Francisco Dantas";"RN";2403905;63,91;54,49;36,86;55,59;76,6;57,49
"Frutuoso Gomes";"RN";2404002;65,98;46,32;32,75;62,45;85,68;58,636
"Galinhos";"RN";2404101;66,31;45,1;40,86;66,65;82,21;60,226
"Goianinha";"RN";2404200;65,65;47,58;30,9;59,24;83,44;57,362
"Governador Dix-Sept Rosado";"RN";2404309;64,58;51,77;30,63;60,86;83,77;58,322
